Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
,,,,,,,000001,20/02/2023,Vente,"139400,00",15,,RUE,7190,DES PEUPLIERS,93000,BOBIGNY,93,8,,AT,331,,43,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,,20,0,,,
,,,,,,,000001,23/02/2023,Vente,"220000,00",2,,RUE,4423,HECTOR BERLIOZ,93000,BOBIGNY,93,8,,AF,437,,68,,,,,,,,,,1,2,Appartement,,84,4,,,
,,,,,,,000001,22/02/2023,Vente,"210000,00",67,,RUE,8110,RABELAIS,93000,BOBIGNY,93,8,,BF,50,,,,,,,,,,,,0,1,Maison,,68,4,S,,344
,,,,,,,000001,15/02/2023,Vente,"90000,00",2,,RUE,3585,FRIDA KAHLO,93000,BOBIGNY,93,8,,A,287,,89,"44,26",,,,,,,,,1,2,Appartement,,44,2,,,
,,,,,,,000001,15/02/2023,Vente,"90000,00",2,,RUE,3585,FRIDA KAHLO,93000,BOBIGNY,93,8,,A,287,,26,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,16/02/2023,Vente,"175000,00",1,,AV,3110,ED VAILLANT,93000,BOBIGNY,93,8,,AV,168,,4,"53,86",40,,,,,,,,2,4,Local industriel. commercial ou assimilé,,40,0,,,
,,,,,,,000001,03/03/2023,Vente,"800000,00",77,,AV,4730,JEAN JAURES,93000,BOBIGNY,93,8,,P,118,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,273,0,S,,606
,,,,,,,000001,03/03/2023,Vente,"800000,00",77,,AV,4730,JEAN JAURES,93000,BOBIGNY,93,8,,P,118,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,606
,,,,,,,000001,03/03/2023,Vente,"800000,00",77,,AV,4730,JEAN JAURES,93000,BOBIGNY,93,8,,P,118,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,273,0,AG,,422
,,,,,,,000001,03/03/2023,Vente,"800000,00",77,,AV,4730,JEAN JAURES,93000,BOBIGNY,93,8,,P,118,,,,,,,,,,,,0,3,Dépendance,,0,0,AG,,422
,,,,,,,000001,28/02/2023,Vente en l'état futur d'achèvement,"318000,00",11,,RUE,9615,VALLIERE,93000,BOBIGNY,93,8,,AP,103,,166,,,,,,,,,,1,,,,,,,,
